nom;animal;quant;elem1;elem2;elem3
;Petit chaton furieux (partiellement digere);1;Steak appetissant;Viande indefinissable;Oeuf
;Rat geant;1;Steak appetissant;Viande indefinissable;Legume suspect
;Gros chat mignon;1;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
;Cochon malodorant;1;Steak appetissant;Viande indefinissable;Legume suspect
;Rat geant;1;Bon plat fait-maison;Viande indefinissable;Ailerons de poulet entames
;Gros chat mignon;1;Viande indefinissable;Steak appetissant;Bon plat fait-maison
;Poule;1;Nouilles chinoises;Viande indefinissable;Pomme
;Serpent de 2 metres;1;Steak appetissant;Viande indefinissable;Pim's perime
;Petit chaton furieux (partiellement digere);1;Viande indefinissable;Legume suspect;Steak appetissant
;Gros chat mignon;1;Bon plat fait-maison;Legume suspect;Viande indefinissable
;Rat geant;1;Plat fait-maison douteux;Bon plat fait-maison;Viande indefinissable
;Gros chat mignon;1;Steak appetissant;Viande indefinissable;Legume suspect
;Rat geant;1;Viande indefinissable;Bon plat fait-maison;Nouilles chinoises
;Serpent de 2 metres;1;Viande indefinissable;Plat fait-maison douteux;Oeuf
;Serpent de 2 metres;1;Plat fait-maison douteux;Bon plat fait-maison;Viande indefinissable
;Rat geant;1;Pomme;Viande indefinissable;Plat fait-maison douteux
;Gros chat mignon;1;Bon plat fait-maison;Viande indefinissable;Legume suspect
;Serpent de 2 metres;1;Boite de conserve ouverte;Viande indefinissable;Bon plat fait-maison
;Gros chat mignon;1;Boite de conserve ouverte;Steak appetissant;Nouilles chinoises
;Rat geant;1;Boite de conserve ouverte;Steak appetissant;Viande indefinissable
;Gros chat mignon;1;Viande indefinissable;Ailerons de poulet entames;Bon plat fait-maison
;Serpent de 2 metres;1;Steak appetissant;Viande indefinissable;Ailerons de poulet entames
;Cochon malodorant;1;Viande indefinissable;Steak appetissant;Biscuit fade
;Serpent de 2 metres;1;Viande indefinissable;Steak appetissant;Petits beurres rances
;Poule;1;Legume suspect;Nouilles chinoises;Viande indefinissable
;Rat geant;1;Steak appetissant;Viande indefinissable;Melon d'intestin
;Serpent de 2 metres;1;Steak appetissant;Viande indefinissable;Melon d'intestin
;Serpent de 2 metres;1;Steak appetissant;Viande indefinissable;Bon plat fait-maison
;Cochon malodorant;1;Bon plat fait-maison;Viande indefinissable;Steak appetissant
;Serpent de 2 metres;1;Steak appetissant;Bon plat fait-maison;Viande indefinissable
;Serpent de 2 metres;1;Viande indefinissable;Bon plat fait-maison;Jambon-beurre moisi
;Petit chaton furieux (partiellement digere);1;Steak appetissant;Viande indefinissable;Bon plat fait-maison
;Gros chat mignon;1;Steak appetissant;Viande indefinissable;Bon plat fait-maison
;Petit chaton furieux (partiellement digere);1;Steak appetissant;Viande indefinissable;Oeuf
;Cochon malodorant;1;Melon d'intestin;Steak appetissant;Viande indefinissable
;Cochon malodorant;1;Steak appetissant;Bon plat fait-maison;Viande indefinissable
;Cochon malodorant;1;Viande indefinissable;Steak appetissant;Melon d'intestin
;Cochon malodorant;1;Steak appetissant;Viande indefinissable;Nouilles chinoises
;Gros chat mignon;1;Steak appetissant;Viande indefinissable;Bretzel sableux
;Cochon malodorant;1;Steak appetissant;Viande indefinissable;Bretzel sableux
;Rat geant;1;Viande indefinissable;Steak appetissant;Nouilles chinoises
;Gros chat mignon;1;Viande indefinissable;Legume suspect;Steak appetissant
;Cochon malodorant;1;Chamallows seches;Plat fait-maison douteux;Steak appetissant
;Rat geant;1;Viande indefinissable;Plat fait-maison douteux;Pomme
;Poule;1;Viande indefinissable;Nouilles chinoises;Bon plat fait-maison
;Serpent de 2 metres;1;Viande indefinissable;Steak appetissant;Legume suspect
;Rat geant;1;Viande indefinissable;Bon plat fait-maison;Chamallows seches
;Cochon malodorant;1;Steak appetissant;Viande indefinissable;Legume suspect
;Serpent de 2 metres;1;Viande indefinissable;Nouilles chinoises;Bretzel sableux
;Cochon malodorant;1;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
;Cochon malodorant;1;Steak appetissant;Viande indefinissable;Legume suspect
;Rat geant;1;Bon plat fait-maison;Viande indefinissable;Plat fait-maison douteux
;Petit chaton furieux (partiellement digere);1;Plat fait-maison douteux;Bon plat fait-maison;Viande indefinissable
;Teckel galeux;1;Bon plat fait-maison;Viande indefinissable;Plat fait-maison douteux
;Rat geant;1;Viande indefinissable;Steak appetissant;Plat fait-maison douteux
;Cochon malodorant;1;Steak appetissant;Bon plat fait-maison;Oeuf
;Serpent de 2 metres;1;Viande indefinissable;Plat fait-maison douteux;Bon plat fait-maison
;Serpent de 2 metres;1;Steak appetissant;Viande indefinissable;Bon plat fait-maison
;Poule;1;Viande indefinissable;Bon plat fait-maison;Biscuit fade
;Petit chaton furieux (partiellement digere);1;Viande indefinissable;Steak appetissant;Citrouille impressionnante
;Gros chat mignon;1;Steak appetissant;Viande indefinissable;Melon d'intestin
;Cochon malodorant;1;Paquet de chips molles;Steak appetissant;Melon d'intestin
;Petit chaton furieux (partiellement digere);1;Steak appetissant;Viande indefinissable;Bon plat fait-maison
;Serpent de 2 metres;1;Steak appetissant;Viande indefinissable;Melon d'intestin
;Cochon malodorant;1;Steak appetissant;Viande indefinissable;Biscuit fade
;Serpent de 2 metres;1;Viande indefinissable;Steak appetissant;Melon d'intestin
;Rat geant;1;Steak appetissant;Viande indefinissable;Bon plat fait-maison
;Cochon malodorant;1;Viande indefinissable;Plat fait-maison douteux;Oeuf
;Rat geant;1;Steak appetissant;Petits beurres rances;Viande indefinissable
;Cochon malodorant;1;Steak appetissant;Viande indefinissable;Bon plat fait-maison
;Cochon malodorant;1;Steak appetissant;Viande indefinissable;Chamallows seches
;Cochon malodorant;1;Steak appetissant;Viande indefinissable;Bon plat fait-maison
;Petit chaton furieux (partiellement digere);1;Steak appetissant;Viande indefinissable;Oeuf
;Rat geant;1;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
;Petit chaton furieux (partiellement digere);1;Plat fait-maison douteux;Bon plat fait-maison;Viande indefinissable
;Cochon malodorant;1;Viande indefinissable;Plat fait-maison douteux;Pomme
;Gros chat mignon;1;Plat fait-maison douteux;Bon plat fait-maison;Viande indefinissable
;Serpent de 2 metres;1;Steak appetissant;Viande indefinissable;Legume suspect
;Gros chat mignon;1;Viande indefinissable;Legume suspect;Melon d'intestin
;Cochon malodorant;1;Bon plat fait-maison;Viande indefinissable;Legume suspect
;Petit chaton furieux (partiellement digere);1;Steak appetissant;Viande indefinissable;Legume suspect
;Gros chat mignon;1;Viande indefinissable;Legume suspect;Steak appetissant
;Gros chat mignon;1;Bon plat fait-maison;Viande indefinissable;Plat fait-maison douteux
;Serpent de 2 metres;1;Steak appetissant;Viande indefinissable;Legume suspect
;Poule;1;Bon plat fait-maison;Legume suspect;Plat fait-maison douteux
;Petit chaton furieux (partiellement digere);1;Plat fait-maison douteux;Bon plat fait-maison;Viande indefinissable
;Serpent de 2 metres;1;Plat fait-maison douteux;Bon plat fait-maison;Viande indefinissable
;Petit chaton furieux (partiellement digere);1;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
;Rat geant;1;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
;Rat geant;1;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
;Petit chaton furieux (partiellement digere);1;Viande indefinissable;Ailerons de poulet entames;Bon plat fait-maison
;Gros chat mignon;1;Melon d'intestin;Viande indefinissable;Boite de conserve ouverte
;Cochon malodorant;1;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
;Serpent de 2 metres;1;Viande indefinissable;Steak appetissant;Nouilles chinoises
;Gros chat mignon;1;Legume suspect;Melon d'intestin;Viande indefinissable
;Petit chaton furieux (partiellement digere);1;Steak appetissant;Viande indefinissable;Legume suspect
;Petit chaton furieux (partiellement digere);1;Viande indefinissable;Plat fait-maison douteux;Bon plat fait-maison
;Rat geant;1;Plat fait-maison douteux;Bon plat fait-maison;Viande indefinissable
;Cochon malodorant;1;Plat fait-maison douteux;Bon plat fait-maison;Legume suspect
;Rat geant;1;Legume suspect;Bon plat fait-maison;Melon d'intestin
;Gros chat mignon;1;Steak appetissant;Legume suspect;Plat fait-maison douteux
Nan_Haki;Rat geant;3;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
ʳᵃᵈⁱˢ;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Jambon-beurre moisi
BadRedMan;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Paquet de chips molles
Etoile de Feu;Serpent de 2 mètres;Viande indefinissable;Plat fait-maison douteux;Steak appetissant
Reivax;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Nouilles chinoises
nausee;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Paquet de chips molles
Dimecolefou;Rat geant;2;Viande indefinissable;Bon plat fait-maison;Legume suspect
ModestLaPinaille;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Kaasa;Cochon malodorant;2;Legume suspect;Viande indefinissable;Steak appetissant
Kresnikovitch;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Legume suspect
Eliam;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Gantzer;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Paquet de chips molles
Orensdale;Rat geant;3;Steak appetissant;Viande indefinissable;Legume suspect
TrotK;Gros chat mignon;2;Viande indefinissable;Steak appetissant;Boite de conserve ouverte
EmmettDalton;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Nouilles chinoises
Osef;Cochon malodorant;2;Viande indefinissable;Steak appetissant;Plat fait-maison douteux
Eph;Poule;2;Steak appetissant;Viande indefinissable;Chewing-gums seches
Hufyster;Serpent de 2 mètres;Viande indefinissable;Steak appetissant;Legume suspect
Astaroth666;Rat geant;3;Steak appetissant;Viande indefinissable;Boite de conserve ouverte
Larchitecte;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Idemonas;Rat geant;3;Steak appetissant;Viande indefinissable;Legume suspect
Zerah;Rat geant;3;Viande indefinissable;Steak appetissant;Nouilles chinoises
BOBSTROLL;Gros chat mignon;Viande indefinissable;Pomme;Boite de conserve ouverte
Vilmarh;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Petits beurres rances
ModestLaPinaille;Cochon malodorant;2;Viande indefinissable;Plat fait-maison douteux;Bon plat fait-maison
Dashell;Gros chat mignon;2;Viande indefinissable;Steak appetissant;Ailerons de poulet entames
Cessuwu;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Boite de conserve ouverte
Reivax;Rat geant;3;Viande indefinissable;Bretzel sableux;Steak appetissant
Keetlyn;Rat geant;3;Steak appetissant;Viande indefinissable;Oeuf
Etoile de Feu;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Plat fait-maison douteux
BadRedMan;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Pim's perime
Eliam;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Entropie;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Oeuf
Tetsuo;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Nan_Haki;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Bon plat fait-maison
nausee;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Charognardes
Helline;Serpent de 2 mètres;Plat fait-maison douteux;Viande indefinissable;Steak appetissant
Kaasa;Teckel galeux;Plat fait-maison douteux;Viande indefinissable;Steak appetissant
Kresnikovitch;Rat geant;3;Steak appetissant;Viande indefinissable;Legume suspect
TRILIPRAT;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Legume suspect
Idemonas;Serpent de 2 mètres;Steak appetissant;Legume suspect;Viande indefinissable
Orensdale;Rat geant;3;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Zerah;Rat geant;3;Steak appetissant;Viande indefinissable;Legume suspect
Hufyster;Rat geant;3;Viande indefinissable;Steak appetissant;Legume suspect
Osef;Rat geant;3;Viande indefinissable;Legume suspect;Steak appetissant
Larchitecte;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Oeuf
Louve;Gros chat mignon;2;Viande indefinissable;Plat fait-maison douteux;Steak appetissant
Hufyster;Rat geant;3;Viande indefinissable;Plat fait-maison douteux;Bon plat fait-maison
Kaasa;Petit chaton furieux (partiellement digere);Viande indefinissable;Plat fait-maison douteux;Steak appetissant
Dashell;Rat geant;3;Viande indefinissable;Steak appetissant;Plat fait-maison douteux
CreeperJuice;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Eliam;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Tetsuo;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Boite de conserve ouverte
Nan_Haki;Rat geant;3;Steak appetissant;Viande indefinissable;Legume suspect
Cessuwu;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Legume suspect
TRILIPRAT;Rat geant;3;Steak appetissant;Viande indefinissable;Bretzel sableux
Orensdale;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
ʳᵃᵈⁱˢ;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Legume suspect
Reivax;Serpent de 2 mètres;Viande indefinissable;Bon plat fait-maison;Plat fait-maison douteux
Entropie;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Pomme
Helline;Rat geant;3;Boite de conserve ouverte;Steak appetissant;Viande indefinissable
ModestLaPinaille;Cochon malodorant;2;Viande indefinissable;Bon plat fait-maison;Plat fait-maison douteux
nausee;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Kresnikovitch;Teckel galeux;Steak appetissant;Boite de conserve ouverte;Viande indefinissable
Vilmarh;Rat geant;3;Viande indefinissable;Steak appetissant;Plat fait-maison douteux
Larchitecte;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Petits beurres rances
endy;Rat geant;3;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Etoile de Feu;Rat geant;3;Plat fait-maison douteux;Viande indefinissable;Steak appetissant
BadRedMan;Petit chaton furieux (partiellement digere);Steak appetissant;Boite de conserve ouverte;Legume suspect
Osef;Cochon malodorant;2;Steak appetissant;Bon plat fait-maison;Viande indefinissable
Idemonas;Teckel galeux;Steak appetissant;Viande indefinissable;Melon d'intestin
Eph;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Boite de conserve ouverte
Tetsuo;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Legume suspect
ModestLaPinaille;Serpent de 2 mètres;Steak appetissant;Plat fait-maison douteux;Viande indefinissable
Louve;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Dashell;Rat geant;3;Viande indefinissable;Steak appetissant;Plat fait-maison douteux
Entropie;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
TRILIPRAT;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Legume suspect
Hufyster;Rat geant;3;Viande indefinissable;Plat fait-maison douteux;Bon plat fait-maison
Nan_Haki;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Legume suspect
Orensdale;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
ʳᵃᵈⁱˢ;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Legume suspect
Kaasa;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Eliam;Serpent de 2 mètres;Bon plat fait-maison;Plat fait-maison douteux;Viande indefinissable
endy;Petit chaton furieux (partiellement digere);Viande indefinissable;Bretzel sableux;Pomme
BadRedMan;Rat geant;3;Steak appetissant;Viande indefinissable;Bretzel sableux
nausee;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Helline;Rat geant;3;Legume suspect;Steak appetissant;Viande indefinissable
Larchitecte;Rat geant;3;Steak appetissant;Viande indefinissable;Pim's perime
Eph;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Etoile de Feu;Cochon malodorant;2;Plat fait-maison douteux;Viande indefinissable;Steak appetissant
Vilmarh;Serpent de 2 mètres;Viande indefinissable;Steak appetissant;Plat fait-maison douteux
Kresnikovitch;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Legume suspect
Keetlyn;Cochon malodorant;Plat fait-maison douteux;Viande indefinissable;Legume suspect
Osef;Cochon malodorant;2;Viande indefinissable;Plat fait-maison douteux;Bon plat fait-maison
Reivax;Gros chat mignon;Viande indefinissable;Legume suspect;Bon plat fait-maison
Cessuwu;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Zerah;Serpent de 2 mètres;Viande indefinissable;Legume suspect;Plat fait-maison douteux
Idemonas;Gros chat mignon;Viande indefinissable;Bon plat fait-maison;Legume suspect
Etoile de Feu;Gros chat mignon;2;Viande indefinissable;Steak appetissant;Plat fait-maison douteux
Reivax;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Vilmarh;Rat geant;3;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Louve;Gros chat mignon;2;Viande indefinissable;Steak appetissant;Plat fait-maison douteux
Nan_Haki;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Legume suspect
Dashell;Serpent de 2 mètres;Viande indefinissable;Biscuit fade;Steak appetissant
Cessuwu;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Plat fait-maison douteux
CreeperJuice;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Jambon-beurre moisi
ModestLaPinaille;Cochon malodorant;2;Steak appetissant;Plat fait-maison douteux;Viande indefinissable
Kresnikovitch;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Legume suspect
Entropie;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Oeuf
TRILIPRAT;Rat geant;3;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Tetsuo;Serpent de 2 mètres;Steak appetissant;Boite de conserve ouverte;Viande indefinissable
endy;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Orensdale;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Plat fait-maison douteux
BadRedMan;Cochon malodorant;2;Viande indefinissable;Plat fait-maison douteux;Bon plat fait-maison
Helline;Serpent de 2 mètres;Legume suspect;Viande indefinissable;Steak appetissant
nausee;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Kaasa;Serpent de 2 mètres;Plat fait-maison douteux;Steak appetissant;Viande indefinissable
Eliam;Cochon malodorant;2;Bon plat fait-maison;Plat fait-maison douteux;Viande indefinissable
Larchitecte;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Hufyster;Cochon malodorant;2;Viande indefinissable;Plat fait-maison douteux;Bon plat fait-maison
Idemonas;Rat geant;3;Steak appetissant;Viande indefinissable;Legume suspect
Zerah;Teckel galeux;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Eph;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Legume suspect
Keetlyn;Rat geant;3;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Osef;Rat geant;2;Viande indefinissable;Melon d'intestin;Legume suspect
Orensdale;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Hufyster;Petit chaton furieux (partiellement digere);Viande indefinissable;Bon plat fait-maison;Plat fait-maison douteux
TRILIPRAT;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Legume suspect
Louve;Serpent de 2 mètres;Viande indefinissable;Plat fait-maison douteux;Steak appetissant
Cessuwu;Rat geant;3;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Nan_Haki;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Legume suspect
Dashell;Cochon malodorant;2;Viande indefinissable;Steak appetissant;Ailerons de poulet entames
Entropie;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Helline;Petit chaton furieux (partiellement digere);Boite de conserve ouverte;Steak appetissant;Viande indefinissable
CreeperJuice;Cochon malodorant;2;Boite de conserve ouverte;Steak appetissant;Ailerons de poulet entames
ʳᵃᵈⁱˢ;Rat geant;3;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Tetsuo;Teckel galeux;Steak appetissant;Viande indefinissable;Boite de conserve ouverte
ModestLaPinaille;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Eliam;Cochon malodorant;2;Viande indefinissable;Bon plat fait-maison;Plat fait-maison douteux
nausee;Rat geant;3;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Keetlyn;Rat geant;3;Biscuit fade;Viande indefinissable;Steak appetissant
Kaasa;Cochon malodorant;2;Viande indefinissable;Steak appetissant;Pim's perime
Vilmarh;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Kresnikovitch;Gros chat mignon;2;Steak appetissant;Boite de conserve ouverte;Viande indefinissable
Etoile de Feu;Rat geant;3;Plat fait-maison douteux;Viande indefinissable;Steak appetissant
Reivax;Gros chat mignon;2;Boite de conserve ouverte;Steak appetissant;Viande indefinissable
Larchitecte;Rat geant;3;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Eph;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Legume suspect
BadRedMan;Teckel galeux;Steak appetissant;Viande indefinissable;Jambon-beurre moisi
Idemonas;Serpent de 2 mètres;Steak appetissant;Legume suspect;Viande indefinissable
Osef;Rat geant;3;Viande indefinissable;Steak appetissant;Boite de conserve ouverte
CreeperJuice;Cochon malodorant;2;Boite de conserve ouverte;Steak appetissant;Viande indefinissable
TRILIPRAT;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Bretzel sableux
Louve;Cochon malodorant;2;Steak appetissant;Plat fait-maison douteux;Biscuit fade
Vilmarh;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Hufyster;Cochon malodorant;2;Bon plat fait-maison;Plat fait-maison douteux;Viande indefinissable
Nan_Haki;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Legume suspect
Kresnikovitch;Poule;2;Plat fait-maison douteux;Viande indefinissable;Legume suspect
Entropie;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Oeuf
Tetsuo;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Boite de conserve ouverte
Eliam;Rat geant;3;Bon plat fait-maison;Viande indefinissable;Plat fait-maison douteux
BadRedMan;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Legume suspect
ʳᵃᵈⁱˢ;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Eph;Serpent de 2 mètres;Viande indefinissable;Legume suspect;Plat fait-maison douteux
Reivax;Serpent de 2 mètres;Viande indefinissable;Plat fait-maison douteux;Bon plat fait-maison
Helline;Gros chat mignon;Bon plat fait-maison;Viande indefinissable;Boite de conserve ouverte
nausee;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Kaasa;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Larchitecte;Teckel galeux;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Cessuwu;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Etoile de Feu;Serpent de 2 mètres;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Orensdale;Teckel galeux;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Idemonas;Serpent de 2 mètres;Steak appetissant;Oeuf;Viande indefinissable
Osef;Rat geant;2;Viande indefinissable;Bon plat fait-maison;Biscuit fade
Hufyster;Cochon malodorant;2;Bon plat fait-maison;Plat fait-maison douteux;Viande indefinissable
Orensdale;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Dashell;Petit chaton furieux (partiellement digere);Viande indefinissable;Steak appetissant;Plat fait-maison douteux
Nan_Haki;Rat geant;3;Steak appetissant;Viande indefinissable;Bretzel sableux
Entropie;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Zerah;Petit chaton furieux (partiellement digere);Steak appetissant;Boite de conserve ouverte;Viande indefinissable
ʳᵃᵈⁱˢ;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Plat fait-maison douteux
CreeperJuice;Rat geant;3;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Etoile de Feu;Serpent de 2 mètres;Pomme;Viande indefinissable;Plat fait-maison douteux
Tetsuo;Rat geant;3;Steak appetissant;Viande indefinissable;Boite de conserve ouverte
BadRedMan;Petit chaton furieux (partiellement digere);Steak appetissant;Boite de conserve ouverte;Viande indefinissable
ModestLaPinaille;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Helline;Teckel galeux;Legume suspect;Viande indefinissable;Steak appetissant
nausee;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Larchitecte;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Kaasa;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Keetlyn;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Legume suspect
Eph;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Legume suspect
Cessuwu;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Biscuit fade
Reivax;Rat geant;3;Boite de conserve ouverte;Steak appetissant;Viande indefinissable
Kresnikovitch;Poule;2;Boite de conserve ouverte;Legume suspect;Plat fait-maison douteux
Idemonas;Gros chat mignon;Bon plat fait-maison;Viande indefinissable;Legume suspect
Osef;Rat geant;2;Viande indefinissable;Bon plat fait-maison;Ailerons de poulet entames
Tetsuo;Petit chaton furieux (partiellement digere);Steak appetissant;Viande indefinissable;Boite de conserve ouverte
ModestLaPinaille;Gros chat mignon;Plat fait-maison douteux;Viande indefinissable;Oeuf
Hufyster;Cochon malodorant;2;Plat fait-maison douteux;Bon plat fait-maison;Viande indefinissable
Entropie;Rat geant;2;Bon plat fait-maison;Plat fait-maison douteux;Oeuf
Orensdale;Serpent de 2 mètres;Viande indefinissable;Legume suspect;Plat fait-maison douteux
Eph;Serpent de 2 mètres;Melon d'intestin;Legume suspect;Viande indefinissable
Nan_Haki;Cochon malodorant;Viande indefinissable;Legume suspect;Bon plat fait-maison
Kaasa;Serpent de 2 mètres;Steak appetissant;Plat fait-maison douteux;Viande indefinissable
Reivax;Rat geant;3;Steak appetissant;Viande indefinissable;Legume suspect
Helline;Cochon malodorant;2;Legume suspect;Viande indefinissable;Steak appetissant
nausee;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Larchitecte;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
BadRedMan;Rat geant;3;Steak appetissant;Viande indefinissable;Nouilles chinoises
Osef;Poule;2;Plat fait-maison douteux;Bon plat fait-maison;Legume suspect
Etoile de Feu;Cochon malodorant;2;Pomme;Viande indefinissable;Plat fait-maison douteux
Idemonas;Rat geant;3;Viande indefinissable;Bon plat fait-maison;Plat fait-maison douteux
Cessuwu;Cochon malodorant;2;Steak appetissant;Viande indefinissable;Legume suspect
Dashell;Petit chaton furieux (partiellement digere);Viande indefinissable;Steak appetissant;Plat fait-maison douteux
TRILIPRAT;Gros chat mignon;2;Steak appetissant;Viande indefinissable;Plat fait-maison douteux
Comte_Hades;Cochon malodorant;2;Boite de conserve ouverte;Steak appetissant;Melon d'intestin
